instance,from,nb_toots
mastodon.triggerphra.se,de,16
mastodon.triggerphra.se,en,411
mastodon.triggerphra.se,es,2
mastodon.triggerphra.se,fr,17
mastodon.triggerphra.se,ie,1
mastodon.triggerphra.se,no,1
mastodon.triggerphra.se,pt,4
mastodon.triggerphra.se,ru,1
mastodon.triggerphra.se,zh,1
mastodon.samfira.com,de,4
mastodon.samfira.com,en,481
mastodon.samfira.com,fr,6
mastodon.samfira.com,nl,3
mastodon.samfira.com,pl,1
social.apreslanu.it,ca,1
social.apreslanu.it,de,5
social.apreslanu.it,en,256
social.apreslanu.it,es,1
social.apreslanu.it,fr,228
social.apreslanu.it,nl,1
social.apreslanu.it,ru,1
social.apreslanu.it,sv,1
niklas.social,de,15
niklas.social,en,450
niklas.social,es,1
niklas.social,fr,20
niklas.social,nl,1
niklas.social,pt,2
niklas.social,ru,1
niklas.social,sv,1
mastodon.express,ar,7
mastodon.express,de,13
mastodon.express,en,431
mastodon.express,es,7
mastodon.express,fa,1
mastodon.express,fi,3
mastodon.express,fr,5
mastodon.express,ht,1
mastodon.express,it,1
mastodon.express,nl,4
mastodon.express,pt,17
mastodon.express,ru,7
socialpod.me,en,401
socialpod.me,en-us,28
socialpod.me,es,1
socialpod.me,fr,4
socialpod.me,ja,54
socialpod.me,pt,10
mastodon.lemarchand.io,br,2
mastodon.lemarchand.io,de,1
mastodon.lemarchand.io,en,133
mastodon.lemarchand.io,eo,1
mastodon.lemarchand.io,fr,352
mastodon.lemarchand.io,it,1
mastodon.lemarchand.io,ja,1
mastodon.lemarchand.io,sv,1
conesphere.social,de,254
conesphere.social,en,213
conesphere.social,fi,1
conesphere.social,fr,23
conesphere.social,ga,3
conesphere.social,lb,1
conesphere.social,sv,1
chinwag.org,de,42
chinwag.org,en,368
chinwag.org,eo,3
chinwag.org,es,11
chinwag.org,fi,2
chinwag.org,fr,12
chinwag.org,it,1
chinwag.org,ja,5
chinwag.org,nl,8
chinwag.org,pl,1
chinwag.org,pt,1
chinwag.org,sv,2
chinwag.org,zh,33
cybt.de,de,348
cybt.de,en,133
cybt.de,es,1
cybt.de,fr,5
cybt.de,ja,1
cybt.de,nn,2
cybt.de,zh,1
petroskowo.pl,ca,6
petroskowo.pl,cs,5
petroskowo.pl,de,3
petroskowo.pl,en,326
petroskowo.pl,eo,2
petroskowo.pl,es,8
petroskowo.pl,et,2
petroskowo.pl,fr,21
petroskowo.pl,hu,3
petroskowo.pl,is,1
petroskowo.pl,it,1
petroskowo.pl,nl,9
petroskowo.pl,pl,94
petroskowo.pl,sv,8
social.tulsa.ok.us,ar,9
social.tulsa.ok.us,de,3
social.tulsa.ok.us,en,423
social.tulsa.ok.us,es,1
social.tulsa.ok.us,fi,1
social.tulsa.ok.us,fr,2
social.tulsa.ok.us,lb,1
social.tulsa.ok.us,pt,1
social.tulsa.ok.us,ru,1
f.kretschmann.social,de,100
f.kretschmann.social,en,40
f.kretschmann.social,es,20
f.kretschmann.social,ru,320
f.kretschmann.social,sv,20
darkfriend.social,en,491
darkfriend.social,es,3
darkfriend.social,fr,1
darkfriend.social,it,1
darkfriend.social,nl,1
darkfriend.social,sv,1
bologna.one,ca,1
bologna.one,de,11
bologna.one,en,189
bologna.one,es,3
bologna.one,eu,1
bologna.one,fi,1
bologna.one,fr,3
bologna.one,it,282
bologna.one,pl,2
bologna.one,pt,3
bologna.one,pt-BR,1
mastodon.oi7.de,de,341
mastodon.oi7.de,en,144
mastodon.oi7.de,es,1
mastodon.oi7.de,fi,1
mastodon.oi7.de,fr,3
mastodon.oi7.de,it,1
mastodon.oi7.de,nl,1
mastodon.oi7.de,pl,1
mastodon.oi7.de,sv,2
fri.aethercom.de,ca,20
fri.aethercom.de,de,20
fri.aethercom.de,en,280
fri.aethercom.de,eo,20
fri.aethercom.de,es,60
fri.aethercom.de,et,20
fri.aethercom.de,fr,20
fri.aethercom.de,ru,20
nonexiste.net,ca,2
nonexiste.net,cs,2
nonexiste.net,de,49
nonexiste.net,el,3
nonexiste.net,en,305
nonexiste.net,es,15
nonexiste.net,fi,1
nonexiste.net,fr,19
nonexiste.net,gl,1
nonexiste.net,ig,1
nonexiste.net,it,8
nonexiste.net,ja,26
nonexiste.net,ko,2
nonexiste.net,nl,17
nonexiste.net,no,1
nonexiste.net,pl,3
nonexiste.net,pt,14
nonexiste.net,ru,1
nonexiste.net,sv,2
nonexiste.net,tr,8
nonexiste.net,uk,1
nonexiste.net,zh,16
anarchydica.net,fa,467
gensokyo.town,ar,2
