instance,from,nb_toots,n,p,nb_toots_total,paverage,logratio
counter.social,counter.social,500,500,1,500,8.204199237337639e-4,7.105694246671168
mastodon.berton.me,mamot.fr,464,486,0.9547325102880658,16099,0.02641588070437973,3.587465836176827
crowleyclub.com,noagendasocial.com,311,340,0.9147058823529411,4792,0.007862904549064393,4.756446499867102
hi.moe.tips,wxw.moe,148,163,0.9079754601226994,3276,0.005375391340303621,5.129385973077753
kollegin.eu,kollegin.eu,428,475,0.9010526315789473,434,7.12124493800907e-4,7.14306620254011
mn.p.starxy.cc,wxw.moe,368,410,0.8975609756097561,3276,0.005375391340303621,5.117849678590977
social.prepedia.org,social.prepedia.org,422,484,0.871900826446281,425,6.973569351736993e-4,7.131133583488323
mastodon.dalaomai.cn,wxw.moe,189,217,0.8709677419354839,3276,0.005375391340303621,5.087773561639582
herzbu.de,friendica.produnis.de,395,468,0.844017094017094,1798,0.002950230045746615,5.6562895990452695
matthewgall.chat,toot.wales,374,466,0.8025751072961373,3328,0.005460715012371932,4.990245706441146
social.wageoffsite.com,mastodonapp.uk,373,469,0.7953091684434968,26080,0.04279310322195312,2.922353980250307
amicale.net,amicale.net,364,461,0.789587852494577,2578,0.004230085126771287,5.2292889862343195
angrytoday.com,noagendasocial.com,168,214,0.7850467289719626,4792,0.007862904549064393,4.603587169679482
growers.social,mastodonapp.uk,383,489,0.7832310838445807,26080,0.04279310322195312,2.9070508287585444
m.daize.xin,wxw.moe,101,129,0.7829457364341085,3276,0.005375391340303621,4.981232012599987
mstdn.moe,wxw.moe,173,221,0.7828054298642534,3276,0.005375391340303621,4.981052793100425
makito.me,mona.do,18,23,0.782608695652174,322,5.28350430884544e-4,7.300628341515966
el5.net,wxw.moe,147,188,0.7819148936170213,3276,0.005375391340303621,4.979914524069187
tomitodon.huideyeren.info,mstdn.kemono-friends.info,111,142,0.7816901408450704,872,0.0014308123469916841,6.303216064895453
m.wulingate.com,mona.do,25,32,0.78125,322,5.28350430884544e-4,7.2988907216174255
cr8r.gg,universeodon.com,362,464,0.7801724137931034,8816,0.014465644095273724,3.9877384733001797
verified.mastodonmedia.xyz,fedibird.com,243,314,0.7738853503184714,6471,0.010617874652962373,4.288884867468389
libresilicon.com,noagendasocial.com,270,352,0.7670454545454546,4792,0.007862904549064393,4.580389988698352
mastodon.windlepoonz.net,mamot.fr,354,462,0.7662337662337663,16099,0.02641588070437973,3.367521929903101
mastodon.fraize.com,mastodonapp.uk,346,452,0.7654867256637168,26080,0.04279310322195312,2.8841349242782637
lgbtqia.space,universeodon.com,303,399,0.7593984962406015,8816,0.014465644095273724,3.96075020232017
mastodon.linuxbox.ninja,mstdn.jp,292,386,0.7564766839378239,5508,0.009037745879851143,4.4272619180482655
friendica.mschmidt-et.de,loma.ml,300,400,0.75,2910,0.0047748439561305055,5.0567119124760405
mstdn.skullb0x.io,mstdn.skullb0x.io,351,474,0.740506329113924,351,5.759347864611022e-4,7.159095023398283
mastodon.edelmann.bond,mastodonapp.uk,176,246,0.7154471544715447,26080,0.04279310322195312,2.8165307881585595
